City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,tshabong,-26.05,22.45,34.89,19,90,6.08,BW,1701114054
110,dukhan,25.4297,50.7858,25.77,67,44,3.64,QA,1701114054
111,cockburn town,21.4612,-71.1419,28.98,70,40,4.12,TC,1701113767
112,avarua,-21.2078,-159.775,25.03,73,75,7.72,CK,1701114054
113,san patricio,28.017,-97.5169,13.26,37,100,4.04,US,1701114054
114,mazouna,36.1223,0.8987,13.92,88,64,3.36,DZ,1701114054
115,flying fish cove,-10.4217,105.6791,24.82,83,75,3.6,CX,1701114054
116,lihue,21.9789,-159.3672,24.58,86,100,5.66,US,1701114054
117,novodvinsk,64.4165,40.8122,-10.68,82,100,5.73,RU,1701114055
118,dryden,49.7833,-92.7503,-13.84,66,40,4.12,CA,1701114055
119,jayapura,-2.5333,140.7,23.66,88,100,1.12,ID,1701114055
120,thompson,55.7435,-97.8558,-20.91,65,0,2.57,CA,1701114055
121,college,64.8569,-147.8028,-5.86,87,75,0.0,US,1701114055
122,caluso,45.305,7.8957,5.85,74,98,0.7,IT,1701114055
123,carnarvon,-24.8667,113.6333,21.29,68,16,7.53,AU,1701114055
124,zhanaozen,43.3,52.8,6.26,82,1,8.24,KZ,1701114055
125,aripuana,-9.1667,-60.6333,36.05,32,92,1.3,BR,1701114055
126,cabo san lucas,22.8909,-109.9124,29.78,63,20,2.57,MX,1701113756
127,togur,58.3631,82.8265,-13.25,98,91,0.89,RU,1701114055
128,kutum,14.2,24.6667,22.57,24,43,5.38,SD,1701114055
129,mount gambier,-37.8333,140.7667,11.8,91,100,3.33,AU,1701114056
130,qinggang,46.6833,126.0833,-20.04,98,25,3.41,CN,1701114056
131,badger,64.8,-147.5333,-5.91,89,75,0.0,US,1701114056
132,la passe,45.5549,-0.8967,12.77,85,12,8.43,FR,1701114056
133,tabou,4.423,-7.3528,26.16,84,72,2.63,CI,1701114056
134,noosa heads,-26.3833,153.15,22.28,90,100,0.79,AU,1701114056
135,tara,56.8944,74.371,-6.69,93,84,3.32,RU,1701114056
136,altai,46.3722,96.2583,-13.15,84,61,2.68,MN,1701114056
137,nuuk,64.1835,-51.7216,-2.66,80,75,7.2,GL,1701114056
138,ola,59.5833,151.2833,-16.59,70,100,4.4,RU,1701114056
139,kasempa,-13.4584,25.8338,18.24,94,100,1.02,ZM,1701114056
140,tura,25.5198,90.2201,19.09,67,100,0.91,IN,1701114056
141,codajas,-3.8367,-62.0569,29.85,59,96,1.48,BR,1701114056
142,moss vale,-34.55,150.3833,15.64,98,100,1.93,AU,1701114057
143,nar'yan-mar,67.6713,53.087,-23.76,100,78,0.73,RU,1701114057
144,wigton,54.8248,-3.1611,5.64,87,77,6.38,GB,1701114057
145,ulladulla,-35.35,150.4667,19.32,90,100,3.06,AU,1701114057
146,wasagu,11.3764,5.7954,26.32,37,7,2.34,NG,1701114057
147,porto novo,6.4965,2.6036,27.9,80,100,2.61,BJ,1701114057
148,utrik,11.2278,169.8474,27.43,74,48,9.93,MH,1701114057
149,afaahiti,-17.75,-149.2833,27.81,82,77,8.35,PF,1701114057
150,mlimba,-8.8,35.8167,25.25,63,98,0.68,TZ,1701114057
151,saldanha,-33.0117,17.9442,19.03,92,5,7.54,ZA,1701113970
152,itoman,26.1247,127.6694,22.01,70,75,4.63,JP,1701114057
153,shuangjiang,26.1547,109.7138,9.82,85,0,1.13,CN,1701114057
154,kulhudhuffushi,6.6221,73.07,27.91,77,100,3.0,MV,1701114057
155,tobelo,1.7284,128.0095,26.38,81,99,1.61,ID,1701114058
156,constantia,44.1833,28.65,0.39,78,94,6.7,RO,1701114058
157,kapuskasing,49.4169,-82.4331,-9.95,79,100,6.69,CA,1701114058
158,broome,42.2506,-75.833,4.28,87,100,4.63,US,1701114058
159,longyearbyen,78.2186,15.6401,3.91,75,75,7.2,SJ,1701114058
160,weligama,5.9667,80.4167,24.77,90,100,2.79,LK,1701114058
161,udachny,66.4167,112.4,-26.57,98,81,2.77,RU,1701114058
162,kupang,-10.1667,123.5833,26.32,100,75,1.03,ID,1701114058
163,kapa'a,22.0752,-159.319,24.99,89,100,5.66,US,1701114058
164,bani mazar,28.5036,30.8004,15.27,58,19,3.67,EG,1701114058
165,kievka,50.2619,71.5514,3.64,59,100,5.44,KZ,1701114058
166,spanish springs,39.6491,-119.7074,6.77,50,0,5.14,US,1701114058
167,atafu village,-8.5421,-172.5159,28.87,77,100,3.96,TK,1701114058
168,fuyuan,46.4333,127.0833,-18.27,99,97,2.78,CN,1701114059
169,tazovsky,67.4667,78.7,-21.32,100,90,3.1,RU,1701113393
170,formosa do rio preto,-11.0483,-45.1931,35.35,14,2,3.95,BR,1701114059
171,cape coast,5.1053,-1.2466,26.66,79,14,2.69,GH,1701114059
172,opuwo,-18.0607,13.84,25.1,51,100,4.45,NA,1701114059
173,ancud,-41.8697,-73.8203,12.91,84,100,6.96,CL,1701114059
174,santa cruz,-17.8,-63.1667,32.03,55,75,10.29,BO,1701114059
175,hithadhoo,-0.6,73.0833,27.7,78,100,2.81,MV,1701114059
176,mazamari,-11.3258,-74.5308,28.97,67,80,0.46,PE,1701114059
177,vila velha,-20.3297,-40.2925,27.97,86,75,4.63,BR,1701114059
178,aldama,22.9167,-98.0667,16.39,65,100,2.25,MX,1701114059
179,paradip garh,20.3167,86.6167,22.35,63,69,1.44,IN,1701114059
180,zaysan,47.4667,84.8667,-0.7,75,65,0.97,KZ,1701114059
181,mil'kovo,55.6078,37.7956,0.23,78,100,8.16,RU,1701114060
182,pitangui,-19.6828,-44.8903,28.59,56,95,0.69,BR,1701114060
183,carloforte,39.145,8.3058,17.25,80,99,9.08,IT,1701114060
184,codrington,-38.2667,141.9667,10.91,94,100,2.31,AU,1701114060
185,la ronge,55.1001,-105.2842,-7.86,79,100,4.12,CA,1701114060
186,koryazhma,61.3143,47.1691,-3.38,92,100,4.66,RU,1701114060
187,kudahuvadhoo,2.6708,72.8944,27.87,73,100,1.97,MV,1701114060
188,emerald,-23.5333,148.1667,19.63,99,100,4.83,AU,1701114060
189,whitburn,54.9533,-1.3686,7.36,86,100,10.64,GB,1701114060
190,ribeira grande,38.5167,-28.7,18.22,94,75,1.54,PT,1701114060
191,lompoc,34.6391,-120.4579,22.1,25,0,2.68,US,1701114060
192,santiago de cao,-7.9589,-79.2392,21.07,78,20,6.56,PE,1701114060
193,baglung,28.2719,83.5898,13.4,40,100,2.45,NP,1701114019
194,kenai,60.5544,-151.2583,2.27,98,100,3.6,US,1701114061
195,mahibadhoo,3.7833,72.9667,28.37,69,99,0.4,MV,1701114061
196,priargunsk,50.3691,119.1012,-32.43,100,38,0.41,RU,1701114061
197,shasta lake,40.6804,-122.3708,16.15,33,0,0.81,US,1701114061
198,port alfred,-33.5906,26.891,18.99,95,2,0.42,ZA,1701114061
199,tucurui,-3.7661,-49.6725,32.03,49,100,2.03,BR,1701114061
200,hamilton,39.1834,-84.5333,2.91,64,100,7.72,US,1701114061
201,labuan,5.2767,115.2417,27.2,89,20,0.0,MY,1701114061
202,hermanus,-34.4187,19.2345,18.15,89,38,0.66,ZA,1701114061
203,nicosia,35.1667,33.3667,13.05,62,20,2.57,CY,1701113561
204,uberaba,-19.7483,-47.9319,26.32,69,40,3.09,BR,1701114061
205,sabang,5.8933,95.3214,24.73,93,100,7.7,ID,1701114061
